address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,﻿job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score,jaccard_skill_score,semantic_skill_score,skill_score,_start,_end,_experience_years,_required_years,experience_score,project_score,raw_match_score,match_percentage,match_category
,,"['15+ years of experience in Accounting & Bookkeeping Services', 'Financial statements', 'Bank reconciliations and General Ledger expertise', 'Flexible team player', 'Financial statement analysis', 'Tax return filing', 'GAAP understanding', 'Bank reconciliations and balancing', 'Microsoft Word', 'Excel', 'Access', 'PowerPoint', 'Outlook', 'Asset Keeper Pro Software', 'QuickBooks Software', 'Fixed Asset Solutions Software', 'Creative Solutions Bookkeeping Software', 'HOST Software', 'Document Manager Software', 'ProSystem', 'UltraTax', 'Lacerte Tax Preparation Software']",['Northwestern State University of Louisiana'],['Bachelor'],['2002'],['Magna Cum Laude'],['Honors'],['Accounting'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['Aug 2013', 'Aug 2009', 'Jan 2006', 'Jan 2003']","['Current', 'Feb 2013', 'Apr 2008', 'Aug 2004']","[['Financial Statements', 'Bank Reconciliations', 'Accounts Payable', 'Fixed Assets'], ['Hospital Financial Statements', 'Budget', 'Forecasts'], ['Tax Returns', 'Budget', 'Forecasts', 'Accounting Software'], ['Tax Returns', 'Audit', 'Confidentiality Protocols']]","['Accountant', 'Accountant', 'Accountant', 'Accountant']","['City , State', 'City , State', 'City , State', 'City , State']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,,,,,,,,,,,Business Development Executive,Bachelor/Honors,1 to 3 years,Age 22 to 30 years,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","Fast typing skill
IELTSInternet browsing & online work ability.",0.3763,0.0,0.6876608,0.20629824697971344,,,0.0,3.0,0.0,1.0,0.30314912647008896,37.63,Low
,,"['Organizational and planning skills', 'Customer Service', 'IT skills (Shopper, Tally, Voyager)', 'Creativity and imagination', 'Business and commercial acumen', 'Drive, motivation and initiative', 'Good Team player', 'Oral and written communication', 'Numerical and analytical ability', 'Ability to lead and motivate a team', 'Influencing and negotiation', 'Work under pressure and deadlines', 'Proficient in MS-Office (Word/Excel/PowerPoint)', 'Focus Integrated ERP software for Retail Garment Stores']","['K.G.R.L P.G College', 'K.G.R.L Degree College']","['MCA', ""Bachelor's Degree in Science""]","['2008', '2005']","['71', '60']","['Percentage', 'Percentage']","['Computer', 'Science']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None]","['Mar 2014', 'Nov 2012', 'Jul 2010', 'Jun 2009', 'May 2008']","['Current', 'Mar 2014', 'Nov 2012', 'Jul 2010', 'Jun 2009']","[['Sales and marketing strategies', 'Distribution network management', 'Sales team management', 'Market research', 'Customer relationship management'], ['Sales', 'Retail parameter management', 'Business expansion', 'Trade marketing strategy development'], ['Sales', 'Visual merchandising', 'Operations management'], ['Sales', 'Local marketing', 'Team motivation'], ['Target achievement', 'Customer service', 'Staff supervision']]","['Business Development Manager', 'Area Sales Executive', 'Business Development Manager', 'Store Manager', 'Floor Manager']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,,,,,,,,,,,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.0553,0.0,0.51819974,0.155459925532341,,,0.0,5.0,0.0,1.0,0.27772996574640274,5.53,Very Low
,,"['Generally Accepted Accounting Principles', 'Generally Accepted Auditing Standards', 'Interviewing Techniques', 'Research & Data Gathering', 'Financial Analysis', 'Budget Preparation', 'Accounts Payable/Accounts Receivable', 'Implementing Effective Internal Controls', 'OMB Circular A-133', 'MS Office', 'Quickbooks', 'Accounting', 'Administrative', 'Agency', 'Audit Report', 'Backup', 'Bank Reconciliations', 'Basic', 'Billing', 'Budgets', 'Cash Register', 'Cashier', 'Catalog', 'Clerical', 'Conferences', 'Contracts', 'Client', 'Data Analysis', 'Database', 'Decision-making', 'Direction', 'Documentation', 'Financial', 'Financial Statements', 'Funds', 'Legal', 'Money', 'Policies', 'Processes', 'Video']","['Fox School of Business, Temple University']",['Bachelor Business Administration'],['N/A'],['N/A'],['N/A'],['Accounting'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['09/2015', '09/2014', '04/2005', '01/2003']","['03/2016', '09/2015', '09/2014', '04/2005']","[['Financial Analysis', 'Internal Controls', 'Data Analysis'], ['Financial Database Management', 'Invoice Management', 'Budget Review'], ['Audit', 'Compliance Review', 'Internal Control Evaluation'], ['Account Analysis', 'Invoice Preparation', 'Statistical Analysis']]","['Accountant', 'Administrative Specialist II', 'Auditor II', 'Accountant']","['City, State', 'City, State', 'City, State', 'City, State']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,,,,,,,,,,,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,Age 25 to 32 years,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",0.3718,0.0,0.68090427,0.20427128672599792,,,0.0,2.0,0.0,1.0,0.3021356463432312,37.18,Low
,"Skilled Machine Learning and Deep Learning practitioner, and I have worked on Computer vision-based projects. On the lookout for opportunities that help me understand more about the domain.","['Machine Learning', 'Deep Learning', 'Computer Vision', 'Pattern Recognition', 'Image Processing', 'Image Segmentation', 'Python', 'Ruby', 'PILLOW', 'OpenCV']",['JT University'],['B.Tech(Computers)'],['2020'],['N/A'],[None],['Computers'],['Brane Enterprises Pvt LTD'],[None],['Jan 2020'],['Ongoing'],"[['Machine Learning', 'Deep Learning', 'Computer Vision']]",['Computer Vision Engineer'],['N/A'],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",['Workshop'],['H2O.ai'],[None],['Attendee'],,,,,,,,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",VAT and Tax,0.0454,0.0,0.51267904,0.1538037210702896,,,0.0,3.0,0.0,1.0,0.27690186351537704,4.54,Very Low
,,"['Operations management', 'Change management', 'Inventory control', 'Policy/program development', 'Supervision and training', 'Sound judgment', 'Computersavvy', 'Calm under pressure', 'Complex problem solving', 'Motivational', 'Continuous Improvement', 'Out of the box thinking', 'Analytical and logical', 'Strong Leadership skills', 'Lean Manufacturing and Management', 'Six Sigma tools and methodologies', 'RCM', 'FMEA', 'DMAIC', 'PFD', 'Six Sigma Certified', 'Microsoft Office 2003-2011', 'Microsoft Visio, 2008-2010', 'Business Objects', 'SAP', 'Apple Lion', 'Pages', 'Keynote', 'Numbers', 'Microsoft Access 2010', 'Visual Studio 2008-2010', 'Microsoft Project', 'Netbeans', 'TextPad', 'SQL Server 2008', 'PowerSteering', 'Tango', 'HTML', 'Css', 'Java', 'Java Script', 'C++', 'VB.NET', 'ASP.NET', 'Web Design 1', 'Web Design 2', 'Algorithms', 'Software Engineering', 'VB.NET', 'ASP.NET', 'Apple', 'Budget Management', 'Business Objects', 'C++', 'Calculator', 'Coach', 'interpersonal skills', 'Continuous Improvement', 'Css', 'client', 'customer relations', 'customer service', 'documentation', 'Facilities Management', 'Financial Reporting', 'GUI', 'HTML', 'Human Resource Management', 'HR', 'Inventory', 'inventory levels', 'Inventory Control', 'Java', 'Java 1', 'Java 2', 'Java Script', 'Leadership skills', 'Lean Manufacturing', 'managing', 'manufacturing process', 'materials', 'Microsoft Access', 'Microsoft Office', 'Microsoft Project', 'Microsoft Visio', 'Works', 'personnel', 'policies', 'problem-solving skills', 'processes', 'project management', 'Purchasing', 'quality', 'maintain records', 're-engineering', 'repairs', 'reporting', 'safety', 'SAP', 'Six Sigma', 'Software Engineering', 'software training', 'SQL Server', 'supervision', 'supply chain', 'supply chain management', 'Tango', 'user support', 'Visual Studio', 'water treatment', 'Web Design 1', 'Web Design 2', 'websites']","['McFord University', 'McFord University', 'University Of Phoenix College']","['B.S', 'M.S', 'B.S.I.T']","['2005', '2010', '2012']","['3.6', '3.7', '3.7']","[None, None, None]","['Mechanical Engineering', 'Electrical Engineering', 'Software Engineering']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['July 2013', 'September 2012', 'November 1981']","['January 2016', 'July 2013', 'October 2011']","[['Engineering processes', 'Software utilization', 'Technical resource', 'Supply chain', 'Six Sigma', 'Lean manufacturing', 'Reliability engineering', 'Plant operations', 'Cost savings', 'Preventive maintenance', 'Supplier management'], ['Client management', 'Purchasing', 'Inventory Control', 'Human Resource Management', 'IT', 'Productivity', 'Facilities Management', 'Safety'], ['Interpersonal skills', 'Team orientation', 'Union and Non-Union work environment', 'Analytical skills', 'Technical skills', 'Problem-solving skills', 'Leadership', 'Lean work environment']]","['Corporate Process/Systems Engineering Manager', 'SDI Site Operations Manager', 'Operations Group Manager']","['City, State', 'City, State', 'City, State']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",['Volunteering'],['Red Cross'],[None],['Volunteer'],,,,,,,,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",VAT and Tax,0.0698,0.0,0.5250461,0.1575138419866562,,,0.0,3.0,0.0,1.0,0.27875692397356033,6.98,Very Low
,,"['GIS', 'lighting designs using Visual Professional', 'Access', 'Excel', 'Microsoft Office', 'Power Point']","['University of South Florida', 'Hillsborough Community College']","['Bachelors', 'Associates Degree']","['June 2017', 'February 2014']","['3.4', '3.7']","['GPA', 'GPA']","['Information Technology', 'N/A']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['10/2014', '06/2013', '08/2012', '06/2011']","['01/2016', '10/2014', '06/2013', '08/2012']","[None, None, None, None]","['Lighting Field Engineering Technician', 'Administrative Technical Aide', 'Customer Service Professional', 'Business Cooperative Education Student- Customer Care']","['City , State', 'City , State', 'City , State', 'City , State']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,,,,,,,,,,,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,Age 30 to 40 years,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",0.2299,0.0,0.584263,0.1752789169549942,,,0.0,10.0,0.0,1.0,0.28763946145772934,22.99,Low
,Currently seeking the next career challenge of continuing the path of accounting management in a small to medium-sized company that needs an involved professional with demonstrated leadership experience.,"['Proactive', 'self-motivated', 'team player', 'AP', 'AR', 'bank reconciliations', 'billings', 'budgets', 'cash flow projections', 'government contracting', 'financial statements', 'Quickbooks', 'Peachtree', 'JDE', 'Great Plains', 'LabView', 'Matlab', 'Access', 'Excel', 'Word']","['University of Maryland, University College', 'University of Maryland', 'University of Maryland']","['Master of Science', 'M. Eng', 'Bachelor of Science']","['2012', '2001', 'N/A']","['N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A']","['Accounting and Finance', 'Aerospace Engineering', 'Aerospace Engineering']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['August 2011', 'July 2006', 'July 1995', 'January 1992']","['Current', 'August 2011', 'July 2006', 'July 1995']","[['financial integration', 'problem-solving', 'project management', 'mentoring'], ['accounting system', 'Quickbooks Pro', 'financial audit', 'staff supervision'], ['simulation tool', 'US Navy analysis', 'technical proposal writing'], ['sensing and actuator technologies', 'DARPA project', 'engineering project management']]","['Engineering Supervisor', 'Vice President', 'Assistant Program Manager', 'Project Engineer']","['City, State', 'City, State', 'City, State', 'City, State']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",['Affiliation'],['American Institute of Certified Public Accountants (AICPA)'],[None],['N/A'],,,['CPA'],[None],[None],['2013'],[None],Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.9282,0.5,0.5162296,0.5048689007759094,,,0.0,0.0,1.0,1.0,0.7524344533681869,92.82,Excellent
,,"['Data Scientist', 'Data Analyst', 'Software Development', 'Machine Learning', 'Natural Language Processing', 'Business Solutions', 'Process Flow', 'Logistic Regression', 'MySQL', 'MongoDB', 'Python', 'PowerBI', 'Hadoop']","['Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV), Bhopal']",['B.E. (Data Engineering)'],['2019'],['N/A'],['N/A'],['Data Engineering'],['United Health Group'],[None],['Jun 2019'],['Till Date'],"[['Machine Learning', 'Data Science']]",['Data Scientist'],['N/A'],"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",['NLP Development'],['CALTECH'],[None],['NLP Developer'],,,,,,,,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,Age at least 24 years,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","AutoCAD
Solidworks",0.0529,0.0,0.516696,0.15500879287719727,,,0.0,5.0,0.0,1.0,0.27750439941883087,5.29,Very Low
,"Skilled Machine Learning and Deep Learning practitioner, and I have worked on Computer vision-based projects. On the lookout for opportunities that help me understand more about the domain.","['Machine Learning', 'Deep Learning', 'Computer Vision', 'Pattern Recognition', 'Image Processing', 'Image Segmentation', 'Python', 'Ruby', 'PILLOW', 'OpenCV']",['JT University'],['B.Tech(Computers)'],['2020'],['N/A'],[None],['Computers'],['Brane Enterprises Pvt LTD'],[None],['Jan 2020'],['Ongoing'],"[['Machine Learning', 'Deep Learning', 'Computer Vision']]",['Computer Vision Engineer'],['N/A'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['Workshop'],['H2O.ai'],[None],['Attendee'],,,,,,,,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.7833,0.0,0.7401646,0.22204938530921936,,,0.0,0.0,1.0,1.0,0.611024695634842,78.33,Strong
,,"['Troubleshooting and problem solving', 'Exceptional telephone etiquette', 'Professional demeanor', 'Self-starter', 'Time management ability', 'Ability to prioritize', 'Deadline-oriented', 'Employee training and development', 'Sales Software: Salesforce.com, Paperless Proposals', 'Learning Management: Saba LMS, Success Factors LMS, Webex, Pedague Testing System', 'Administrative: Microsoft Office Suite, Concur', 'Technical: Vantive, Clarify']",['Centenary College'],['Bachelor of Science'],['2006'],[None],[None],['Business Administration'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None, None]","['May 2016', 'October 2014', 'February 2014', 'April 2012', 'June 2011', 'January 2011', 'January 2007', 'October 2001']","['Current', 'May 2016', 'October 2014', 'April 2013', 'March 2012', 'April 2011', 'May 2010', 'January 2007']","[None, None, None, None, None, None, None, None]","['Business Development Coordinator', 'Technology Coordinator', 'Region Coordinator', 'Executive Assistant', 'Technical Support Coordinator', 'Clinical Administrator', 'Specialist, User Applications', 'Training Coordinator']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,,,,,,,,,,,"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,Age 25 to 40 years,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","HRM Report
Human Resource Management
NGO",0.3452,0.0,0.6482086,0.1944625973701477,,,0.0,6.0,0.0,1.0,0.2972313016653061,34.52,Low
,Looking for roles related to application development in Machine Learning.,"['Business Analyst', 'Data Analytics', 'Data Cleansing', 'Business Analysis', 'Risk Analysis', 'Statistical Analysis', 'Deep Learning', 'Machine Learning', 'Python', 'Numpy']",['PGG College Mysore'],['B.BA'],['2019'],['N/A'],['N/A'],['N/A'],['ZigSAW'],['N/A'],['Apr 2019'],['Dec 2020'],[['Machine Learning']],['SDE and Business Analyst Trainee'],['N/A'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks",,,,,,,,,,,,Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,Age 25 to 30 years,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks","AutoCAD
Communication and negotiation skills
Internet
MS Office",0.2438,0.0,0.5891546,0.17674638330936432,,,0.0,2.0,0.0,1.0,0.2883731946349144,24.38,Low
,"Graduate analyst currently working as business analyst consultant. As an individual, I always try to overcome problems in the most analytical manner. I want to work on Machine Learning application problems that deal with real life scenarios.","['Business Analysis', 'Machine Learning', 'Requirement Gathering', 'Data Analysis', 'Artificial Intelligence', 'Predictive Modeling', 'Deep Learning', 'Data Modeling', 'Manual Testing', 'Quality Assurance', 'Python', 'R', 'SQL', 'HTML', 'Numpy', 'Tensorflow']","['Indian Institute of Technology (IIT), Mumbai']",['B.Tech'],['2020'],['N/A'],['N/A'],['Mechanical'],['Loyalty Rewards Management. Pvt. Ltd.'],['N/A'],['Aug 2020'],['Till Date'],"[['Business Analysis', 'Data Analysis', 'Designing', 'Predictive Modeling']]",['Business Analyst'],['N/A'],"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",['Open Source Projects'],['N/A'],[None],['N/A'],,,,,,,,Business Development Executive,Bachelor/Honors,1 to 3 years,Age 22 to 30 years,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","Fast typing skill
IELTSInternet browsing & online work ability.",0.3417,0.0,0.6455835,0.19367505609989166,,,0.0,3.0,0.0,1.0,0.29683753103017807,34.17,Low
,Driven and a self-motivated Mechanical Engineer with experience teaching Mechanical Engineering courses to undergraduate students. Seeking opportunities to use those concepts in the field of Construction and Management.,"['Academic', 'AutoCad', 'banking', 'basic', 'Calculus', 'credit', 'database', 'Database Management System', 'Engineer', 'Experiments', 'GUI', 'LASER', 'layout', 'Materials', 'MATLAB', 'Mechanical Engineering', 'Excel', 'Microsoft Office', 'Outlook', 'Power Point', 'Word', 'MySQL', 'Optimization', 'Physics', 'Police', 'progress', 'Research', 'Retail', 'Scheduling', 'Statistics', 'VBA', 'website']","['Arizona State University', 'University of Mumbai']","['Master of Science', 'Bachelor of Engineering']","['2016', '2011']","['3.15', '3.9']","[None, None]","['Industrial Engineering', 'Mechanical Engineering']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['September 2014', 'August 2011', 'April 2010']","['September 2015', 'July 2012', 'August 2013']","[['Mechanics', 'Probability and Statistics', 'MATLAB', 'Operations Research', 'Calculus'], [], []]","['Mechanical Engineering Tutor', 'Assistant Professor', 'Intern']","[None, None, None]","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",['Volunteering'],['Akanksha Foundation'],[None],['Volunteer Teacher'],,,,,,,,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.0843,0.0,0.5317637,0.15952910482883453,,,0.0,5.0,0.0,1.0,0.2797645553946495,8.43,Very Low
,,"['Data Structures', 'Logistic Regression', 'Linear Regression', 'Machine Learning', 'Algorithms', 'Deep Learning', 'GIT', 'Open Source', 'Neural Networks', 'CNN', 'DNN', 'ANN', 'RNN', 'Keras', 'Tensorflow']",['Sighania University'],['B.Tech & M.Tech(Integrated)'],['2020'],['N/A'],['N/A'],['N/A'],['GZN Solution'],['N/A'],['Apr 2019'],['Dec 2019'],[['Machine Learning']],['SDE Intern'],['N/A'],"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,,,,,,,,,,,DevOps Engineer,Bachelor/Honors,At least 3 years,,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability","Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",0.0404,0.0,0.5090238,0.15270714461803436,,,0.0,3.0,0.0,1.0,0.2763535752892494,4.04,Very Low
,I am a market research specialist with a grasp of machine learning and looking for a deeper dive into the career of being a professional machine learning engineer.,"['Research Associate', 'Business Analyst', 'Business Analytics', 'Data Mining', 'Data Modeling', 'Predictive Analysis', 'Business Intelligence', 'Machine Learning', 'Market Research', 'Customer Engagement', 'Risk Management', 'Retention', 'Audience', 'Python']",['Bhavleesh Duggar College'],['B.Tech'],['2020'],['N/A'],['N/A'],['Mechanical'],['Kripa Infotech'],['N/A'],['Apr 2020'],['Sep 2020'],"[['Market Research', 'Data Analysis']]",['Associate Market Research Analyst Intern'],['N/A'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,,,,,,['N/A'],[['Python']],['N/A'],['N/A'],['N/A'],Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.3597,0.0,0.6644796,0.19934388995170593,,,0.0,1.0,0.0,1.0,0.2996719479560852,35.97,Low
,,"['Machine Learning', 'Software Development', 'Text Analysis', 'Natural Language Processing', 'Image Processing', 'Python', 'Data Management', 'Scikit Learn', 'C', 'C#', '.NET', 'SQL']",['Punjab Technical University'],['B.Tech'],['2020'],['N/A'],['N/A'],['Computer Science'],['HS Institute'],[None],['May 2019'],['Oct 2019'],"[['Data Management', 'Machine Learning']]",['Trainee'],['N/A'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,,,,,,,,,,,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.2939,0.0,0.6102981,0.18308943510055542,,,0.0,4.0,0.0,1.0,0.29154472053050995,29.39,Low
,"A quality-oriented professional with a keen interest in solving complex business problems by way of AI-based design & thinking. A technology-agnostic individual with a strong background in data science, statistics, and economics with an aim to accelerate artificial intelligence.","['Data Science', 'Machine Learning', 'Artificial Intelligence', 'Data Analysis', 'Keras', 'Tensorflow', 'Pytorch', 'Python', 'AWS', 'Kubernetes', 'Kafka', 'Spark', 'PySpark', 'Hadoop', 'Deep Learning', 'Chatbot', 'Natural language processing', 'Scikit-Learn']","['Lucknow University', 'BSI, Bombay']","['B.Tech', 'MSc']","['2018', '2020']","['N/A', 'N/A']","['N/A', 'N/A']","['JKG College, Nashik', 'Computational Economics']",['Deloitte Consulting India Private Limited'],['N/A'],['Jul 2020'],['Apr 2021'],"[['Machine Learning', 'GraphML models', 'Data Science', 'Time Series', 'NLP', 'Deep Learning', 'Chatbot Technology']]",['Data Strategy and Delivery Specialist'],['N/A'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits",,,,,,,,,,,,Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits",,0.5533,0.5,0.5028114,0.5008434116840362,,,0.0,1.0,0.0,1.0,0.45042170882225036,55.33,Moderate
